"TimeInt";"TimeStr";"B_MASA1";"B_MASA2";"B_MASA_3";"B_MASA_4";"CAUDAL_1";"CAUDAL_2";"CAUDAL_ACUMUL.1";"CAUDAL_ACUMUL.2";"DECANTER";"DEC_HORAS_PARCIAL";"DEC_HORAS_TOTAL";"INT_MD";"PAR_BD";"RPM_BD";"RPM_DIF";"RPM_MD";"T_ROD_ALIM";"T_ROD_SAL";"VIBRAC"
1713293955;"16/04/2024 18:59:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713294015;"16/04/2024 19:00:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2050781
1713294075;"16/04/2024 19:01:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2050781
1713294135;"16/04/2024 19:02:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2050781
1713294195;"16/04/2024 19:03:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713294255;"16/04/2024 19:04:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713294315;"16/04/2024 19:05:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;27.875;0.1660156
1713294375;"16/04/2024 19:06:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713294435;"16/04/2024 19:07:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713294495;"16/04/2024 19:08:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713294555;"16/04/2024 19:09:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1855469
1713294615;"16/04/2024 19:10:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713294675;"16/04/2024 19:11:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713294735;"16/04/2024 19:12:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1953125
1713294795;"16/04/2024 19:13:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713294855;"16/04/2024 19:14:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713294915;"16/04/2024 19:15:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713294975;"16/04/2024 19:16:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713295035;"16/04/2024 19:17:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713295095;"16/04/2024 19:18:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713295155;"16/04/2024 19:19:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2148438
1713295215;"16/04/2024 19:20:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713295275;"16/04/2024 19:21:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713295335;"16/04/2024 19:22:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713295395;"16/04/2024 19:23:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2148438
1713295455;"16/04/2024 19:24:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1660156
1713295515;"16/04/2024 19:25:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713295575;"16/04/2024 19:26:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713295635;"16/04/2024 19:27:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713295695;"16/04/2024 19:28:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713295755;"16/04/2024 19:29:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713295815;"16/04/2024 19:30:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;27.875;0.2050781
1713295875;"16/04/2024 19:31:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2148438
1713295936;"16/04/2024 19:32:16";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1660156
1713295995;"16/04/2024 19:33:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713296055;"16/04/2024 19:34:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1660156
1713296115;"16/04/2024 19:35:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2246094
1713296175;"16/04/2024 19:36:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713296235;"16/04/2024 19:37:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;27.875;0.1660156
1713296295;"16/04/2024 19:38:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2148438
1713296355;"16/04/2024 19:39:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;27.875;0.1757812
1713296415;"16/04/2024 19:40:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713296475;"16/04/2024 19:41:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
1713296535;"16/04/2024 19:42:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1757812
1713296595;"16/04/2024 19:43:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713296655;"16/04/2024 19:44:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713296715;"16/04/2024 19:45:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.2148438
1713296775;"16/04/2024 19:46:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.15625
1713296835;"16/04/2024 19:47:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713296895;"16/04/2024 19:48:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713296955;"16/04/2024 19:49:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1660156
1713297015;"16/04/2024 19:50:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713297075;"16/04/2024 19:51:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1464844
1713297135;"16/04/2024 19:52:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713297195;"16/04/2024 19:53:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713297255;"16/04/2024 19:54:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713297315;"16/04/2024 19:55:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713297375;"16/04/2024 19:56:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1953125
